StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.1,Q3.1,Q3.2,Q3.3,Q3.4,Q4.1,Q5.1,Q5.2,Q6.1,Q7.1,Q7.2,Q7.3,Q8.1,Q10.1_1,Q10.1_2,Q10.1_3,Q10.1_4,Q10.1_5,Q10.10,Q11.1,Q11.2,Q11.3,Q13.1,Q13.2,Q13.3,Q14.1,Q14.2,Q14.3,Q15.1,Q15.2,Q15.3,Q16.1_1,Q16.1_2,Q16.1_3,Q16.1_4,Q17.1_1,Q17.1_2,Q17.1_3,Q17.1_4,Q17.1_5,Q17.1_6,Q18.1,Q18.2,Q18.2_7_TEXT,Q18.3,Q18.4_1,Q18.4_2,Q18.4_3,Q18.4_4,Q18.4_5,Q18.4_6,Q18.4_7,Q18.4_8,Q18.4_7_TEXT,Q18.5,Q18.5_3_TEXT,Q18.6,Q18.7,Q18.8,Q18.8_4_TEXT,Q18.9,Q18.10,Q18.11,Q18.12,Q18.13,Q19.1,Q19.2,Q20.1,Q20.2_First Click,Q20.2_Last Click,Q20.2_Page Submit,Q20.2_Click Count,Car image,Price,Org,Description,Felon,Fact Info,Vaccine,RCV Cue,RCVExperience,Q36_3_TEXT - Parent Topics,Q36_3_TEXT - Sentiment Polarity,Q36_3_TEXT - Sentiment Score,Q36_3_TEXT - Sentiment,Q36_3_TEXT - Topic Sentiment Label,Q36_3_TEXT - Topic Sentiment Score,Q36_3_TEXT - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Your IP address indicates that you are not currently residing in the United States. Please confirm that you were eligible to vote in the 2020 US election or will be eligible to vote in 2022.,"Electric vehicles are growing in popularity. Suppose you were able to purchase the car below for [Field-Price]. You are able to charge it at home or at any charging station for $25 a month. The batteries of the car have range adequate to travel 400 miles.
 
[Field-Car%20image]



Given the above specifications would you buy the car above?",How does this car make you feel? (Use the slider to indicate),How many people do you know that own an electric vehicle?,Do you own an electric vehicle?,"An NFL team is planning to donate the money collected from 50/50 raffles at each home game to a non-profit organization.  A group of players have asked that the team use the funds to support [Field-Org], [Field-Description]. 
Do you think the team should support the organization suggested by the players?","In recent years 18 states have legalized marijuana for recreational use, and similar legislation is being considered in many other states. 
Regardless of the current law in your state, do you support or oppose the legalization of marijuana for recreational use by adults across the country?","In recent years 18 states have legalized marijuana for recreational use, and similar legislation is being considered in many other states. Opponents of marijuana legalization frequently argue that marijuana should not be legal because it is addictive. However, the Drug Policy Alliance finds that ""fewer than 10% of those who try marijuana ever end up meeting the clinical criteria for dependence, whereas 23% of tobacco users and alcohol users do.""
Regardless of the current law in your state, do you support or oppose the legalization of marijuana for recreational use by adults across the country?","Some states who have legalized recreational marijuana have adopted social equity programs. Social Equity Programs (SEPs) create sustainable pathways into the cannabis industry for individuals most impacted by the war on drugs, marijuana prohibition, disproportionate arrest, and incarceration. [Field-Fact%20Info]
Do you agree that social equity funds should be granted to [Field-Felon]?",Do you live in a state where either recreational or medical marijuana is legalized?,Have you or anyone in your close family or friends ever dealt with substance abuse?,Do you believe marijuana is an addictive substance?,"Mohammad is a 15 year old immigrant from Afghanistan moving to the US with his family. After the Taliban seized control of Afghanistan, Mohammad and his family are being forced to flee their home country because of concerns for their safety. As a small portion of the nearly 150,000 civilians evacuated by US forces, Mohammad and his family are seeking refuge and a new start. [Field-Vaccine]
Do you agree with the decision to allow Mohammad and his family to immigrate to the US?","To help you understand ranked choice voting, you will participate in a mock election. 
Imagine you are ordering food with a large group of people. There are five possible options. Everyone is asked to rank what they would like and you agree to purchase whichever dinner option wins under a ranked choice voting election. 
Please rank the following choices in order of your preference. - Pizza","To help you understand ranked choice voting, you will participate in a mock election. 
Imagine you are ordering food with a large group of people. There are five possible options. Everyone is asked to rank what they would like and you agree to purchase whichever dinner option wins under a ranked choice voting election. 
Please rank the following choices in order of your preference. - Vegan Meatloaf","To help you understand ranked choice voting, you will participate in a mock election. 
Imagine you are ordering food with a large group of people. There are five possible options. Everyone is asked to rank what they would like and you agree to purchase whichever dinner option wins under a ranked choice voting election. 
Please rank the following choices in order of your preference. - Burgers","To help you understand ranked choice voting, you will participate in a mock election. 
Imagine you are ordering food with a large group of people. There are five possible options. Everyone is asked to rank what they would like and you agree to purchase whichever dinner option wins under a ranked choice voting election. 
Please rank the following choices in order of your preference. - Tacos","To help you understand ranked choice voting, you will participate in a mock election. 
Imagine you are ordering food with a large group of people. There are five possible options. Everyone is asked to rank what they would like and you agree to purchase whichever dinner option wins under a ranked choice voting election. 
Please rank the following choices in order of your preference. - Seafood",Would you be satisfied with the winning dinner option?,Do you think that ranked choice voting would increase or decrease voter satisfaction in elections?,Do you think that ranked choice voting would increase or decrease the choices available to voters in elections?,Several [Field-RCV%20Cue] politicians are currently seeking to adopt ranked choice voting in U.S. elections. Would you support or oppose the use of ranked choice voting?,Do you consider this post political?,Do you consider this post political?,Do you consider this post political?,Do you consider this post political?,Do you consider this post political?,Do you consider this post political?,Do you consider this post political?,Do you consider this post political?,Do you consider this post political?,"The questions in this scale ask about your feelings and thoughts over THE LAST MONTH. 
For each question, please
indicate HOW FREQUENTLY you experienced that thought or feeling in the past month. - In the last month, how often have you felt that you were unable to control the important things in your life?","The questions in this scale ask about your feelings and thoughts over THE LAST MONTH. 
For each question, please
indicate HOW FREQUENTLY you experienced that thought or feeling in the past month. - In the last month, how often have you felt confident about your ability to handle your personal problems?","The questions in this scale ask about your feelings and thoughts over THE LAST MONTH. 
For each question, please
indicate HOW FREQUENTLY you experienced that thought or feeling in the past month. - In the last month, how often have you felt that things were going your way?","The questions in this scale ask about your feelings and thoughts over THE LAST MONTH. 
For each question, please
indicate HOW FREQUENTLY you experienced that thought or feeling in the past month. - In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?","People have different attitudes toward social groups. Below are a series of statements with which you may either agree or disagree. For each statement, please indicate the degree of your agreement or disagreement. Your first responses are usually the most accurate. - I try to act in non-prejudiced ways toward black people because it is personally important to me.","People have different attitudes toward social groups. Below are a series of statements with which you may either agree or disagree. For each statement, please indicate the degree of your agreement or disagreement. Your first responses are usually the most accurate. - According to my personal values, using stereotypes about black people is not OK.","People have different attitudes toward social groups. Below are a series of statements with which you may either agree or disagree. For each statement, please indicate the degree of your agreement or disagreement. Your first responses are usually the most accurate. - I don’t want to appear prejudiced toward black people, not even to myself.","People have different attitudes toward social groups. Below are a series of statements with which you may either agree or disagree. For each statement, please indicate the degree of your agreement or disagreement. Your first responses are usually the most accurate. - I try to appear non-prejudiced to avoid disapproval from others.","People have different attitudes toward social groups. Below are a series of statements with which you may either agree or disagree. For each statement, please indicate the degree of your agreement or disagreement. Your first responses are usually the most accurate. - It is important to me that other people think I am unprejudiced toward black people.","People have different attitudes toward social groups. Below are a series of statements with which you may either agree or disagree. For each statement, please indicate the degree of your agreement or disagreement. Your first responses are usually the most accurate. - I try to hide any prejudiced thoughts about black people to avoid negative reactions from others.","Have you personally been fully vaccinated against Covid-19 with an authorized vaccine? (Pfizer, Moderna, or Johnson & Johnson)",What was the highest level of education you completed? - Selected Choice,What was the highest level of education you completed? - Other (please indicate) - Text,Are you currently...,What is your racial or ethnic background? (select all that apply) - Selected Choice - African American or Black,What is your racial or ethnic background? (select all that apply) - Selected Choice - American Indian or Alaska Native,What is your racial or ethnic background? (select all that apply) - Selected Choice - Asian,What is your racial or ethnic background? (select all that apply) - Selected Choice - Hispanic or Latino,What is your racial or ethnic background? (select all that apply) - Selected Choice - Middle Eastern,What is your racial or ethnic background? (select all that apply) - Selected Choice - White,What is your racial or ethnic background? (select all that apply) - Selected Choice - Other,What is your racial or ethnic background? (select all that apply) - Selected Choice - Prefer not to answer,What is your racial or ethnic background? (select all that apply) - Other - Text,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your age?,What is your average annual household income?,"Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or what? - Selected Choice","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or what? - Other - Text",Would you call yourself a strong Republican or a not very strong Republican?,Would you call yourself a strong Democrat or a not very strong Democrat?,Do you think of yourself as closer to the Democrat or Republican party?,Did you vote in the 2020 US Presidential election?,"Thank you for taking our survey. If you have any comments for the research team about the survey or your experience, please leave them in the text box below.  Please remember to click the arrow to reach the final page before clicking out of the survey, as you will receive your access code on the final page.","You have been selected to participate in an additional activity! 
 

If you choose to participate, you will be asked to read a one page document and count all of the mistakes (misspellings, grammatical errors, etc.) in the text. You will then indicate the total number of mistakes identified. Here is an example:

 
The quickly borwn brown Ffox jumps over, the lazy dog;

Errors = 5


 

This task will likely take about 4 minutes. You will receive an additional payout of $0.50 for completing this additional task. However, if you incorrectly identify the total number of mistakes, you may forfeit this additional payment and may be paid only for participating in the survey you just completed. If you choose not to participate in this additional activity, you will receive additional payout of $0.25 (in addition to the payment for the original survey) and the survey will end.","You have been selected to participate in an additional activity! 
 

If you choose to participate, you will be asked to read a one page document and count all of the mistakes (misspellings, grammatical errors, etc.) in the text. You will then indicate the total number of mistakes identified. Here is an example:

 
The quickly borwn brown Ffox jumps over, the lazy dog;

Errors = 5


 

This task will likely take about 4 minutes. You will receive an additional payout of $0.50 for completing this additional task. If you choose not to participate in this additional activity, you will receive additional payout of $0.25 (in addition to the payment for the original survey) and the survey will end.","Please read the following text carefully, identify errors in grammar and punctuation, and report how many you find. 
 

Example: The quickly borwn brown Ffox jumps over, the lazy dog;

Errors = 5



 

Please indicate the total number of mistake identified in the text.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Car image,Price,Org,Description,Felon,Fact Info,Vaccine,RCV Cue,RCVExperience,Q36_3_TEXT - Parent Topics,Q36_3_TEXT - Sentiment Polarity,Q36_3_TEXT - Sentiment Score,Q36_3_TEXT - Sentiment,Q36_3_TEXT - Topic Sentiment Label,Q36_3_TEXT - Topic Sentiment Score,Q36_3_TEXT - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID266""}","{""ImportId"":""QID280""}","{""ImportId"":""QID284""}","{""ImportId"":""QID285""}","{""ImportId"":""QID270""}","{""ImportId"":""QID286""}","{""ImportId"":""QID289""}","{""ImportId"":""QID291""}","{""ImportId"":""QID292""}","{""ImportId"":""QID287""}","{""ImportId"":""QID288""}","{""ImportId"":""QID275""}","{""ImportId"":""QID330_1""}","{""ImportId"":""QID330_2""}","{""ImportId"":""QID330_3""}","{""ImportId"":""QID330_4""}","{""ImportId"":""QID330_5""}","{""ImportId"":""QID345""}","{""ImportId"":""QID363""}","{""ImportId"":""QID364""}","{""ImportId"":""QID346""}","{""ImportId"":""QID351""}","{""ImportId"":""QID352""}","{""ImportId"":""QID353""}","{""ImportId"":""QID356""}","{""ImportId"":""QID357""}","{""ImportId"":""QID358""}","{""ImportId"":""QID359""}","{""ImportId"":""QID360""}","{""ImportId"":""QID361""}","{""ImportId"":""QID354_1""}","{""ImportId"":""QID354_2""}","{""ImportId"":""QID354_3""}","{""ImportId"":""QID354_4""}","{""ImportId"":""QID180_1""}","{""ImportId"":""QID180_2""}","{""ImportId"":""QID180_3""}","{""ImportId"":""QID180_4""}","{""ImportId"":""QID180_5""}","{""ImportId"":""QID180_6""}","{""ImportId"":""QID277""}","{""ImportId"":""QID33""}","{""ImportId"":""QID33_8_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35"",""choiceId"":""1""}","{""ImportId"":""QID35"",""choiceId"":""2""}","{""ImportId"":""QID35"",""choiceId"":""3""}","{""ImportId"":""QID35"",""choiceId"":""4""}","{""ImportId"":""QID35"",""choiceId"":""5""}","{""ImportId"":""QID35"",""choiceId"":""6""}","{""ImportId"":""QID35"",""choiceId"":""7""}","{""ImportId"":""QID35"",""choiceId"":""8""}","{""ImportId"":""QID35_7_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_3_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID41""}","{""ImportId"":""QID41_4_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID303_TEXT""}","{""ImportId"":""QID300""}","{""ImportId"":""QID350""}","{""ImportId"":""QID301_TEXT""}","{""ImportId"":""QID365_FIRST_CLICK""}","{""ImportId"":""QID365_LAST_CLICK""}","{""ImportId"":""QID365_PAGE_SUBMIT""}","{""ImportId"":""QID365_CLICK_COUNT""}","{""ImportId"":""Car image""}","{""ImportId"":""Price""}","{""ImportId"":""Org""}","{""ImportId"":""Description""}","{""ImportId"":""Felon""}","{""ImportId"":""Fact Info""}","{""ImportId"":""Vaccine""}","{""ImportId"":""RCV Cue""}","{""ImportId"":""RCVExperience""}","{""ImportId"":""QID36_3_TEXT_3d6cff157f334301a76928ccParTopics""}","{""ImportId"":""QID36_3_TEXT_3d6cff157f334301a76928ccSenPol""}","{""ImportId"":""QID36_3_TEXT_3d6cff157f334301a76928ccSenScore""}","{""ImportId"":""QID36_3_TEXT_3d6cff157f334301a76928ccSentiment""}","{""ImportId"":""QID36_3_TEXT_3d6cff157f334301a76928ccTopicSenLabel""}","{""ImportId"":""QID36_3_TEXT_3d6cff157f334301a76928ccTopicSenScore""}","{""ImportId"":""QID36_3_TEXT_3d6cff157f334301a76928ccTopics""}"
2021-11-17 22:30:59,2021-11-17 22:35:40,0,96.41.142.86,100,281,1,2021-11-17 22:35:41,R_AzEmKwBQZ4Ic5Gh,,,,,42.395599365234375,-123.3527984619140625,anonymous,EN,,5,5,1,2,3,1,,3,1,2,1,3,,,,,,,4,5,3,2,2,2,,,,,,,1,5,4,3,1,4,1,3,1,3,1,4,,5,,,,,,1,,,,1,,2,2,3,,,,2,1,Nothing I can think of,2,,,,,,,"<img src=""https://umassamherst.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cNl6CwoAVxSEA9o"" alt=""White Car Image"">","$20,000",the United Negro College Fund,an organization that raises money to fund minority students and HBCUs,those from disproportionately affected communities,Aggressive enforcement of the War on Drugs resulted in many people arrested for using - not dealing - marijuana. 88% of the 8.2 million marijuana arrests between 2001 and 2010 were made on the grounds of possession. These arrests exhibit a significant racial bias: blacks were 3.73 times more likely than whites to be arrested for marijuana despite roughly equal usage.,Mohammad and his family have refused to comply with US vaccination requirements based on religious grounds.,Democratic Party,Control,,,,,,,
2021-11-17 22:33:22,2021-11-17 22:35:55,0,202.182.67.44,100,153,1,2021-11-17 22:35:56,R_2WS7l6a3AJP1j6k,,,,,40.6078033447265625,-73.821502685546875,anonymous,EN,,5,6,3,1,1,,1,1,1,1,1,1,,,,,,,1,1,2,,,,1,1,1,,,,5,5,5,5,5,4,5,5,5,5,1,4,,2,1,,1,,,,,,,1,,2,3,2,,,1,,1,good,,1,5,2.958,3.394,14.385,2,"<img src=""https://umassamherst.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8jqMGkx3MLDuSl8"" alt=""White Car Image"">","$60,000",the Sunrise Movement,a youth-led organization that protests against fossil fuels and political inaction on climate change,those with previous marijuana indictments,Aggressive enforcement of the War on Drugs resulted in many people arrested for using - not dealing - marijuana. 88% of the 8.2 million marijuana arrests between 2001 and 2010 were made on the grounds of possession. These arrests exhibit a significant racial bias: blacks were 3.73 times more likely than whites to be arrested for marijuana despite roughly equal usage.,Mohammed and his family have complied with all US vaccination requirements.,Republican Party,Control,,,,,,,
2021-11-17 22:31:21,2021-11-17 22:37:00,0,181.214.112.110,100,338,1,2021-11-17 22:37:01,R_2tJxtPk57hMPEuS,,,,,41.8874053955078125,-87.63179779052734375,anonymous,EN,,4,5,3,2,2,3,,4,3,2,2,3,,,,,,,2,2,2,2,2,2,,,,,,,4,3,2,3,2,3,3,2,3,4,1,5,,1,,,,,,1,,,,1,,2,4,1,,2,,,1,,,2,,,,,,"<img src=""https://umassamherst.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cNl6CwoAVxSEA9o"" alt=""White Car Image"">","$60,000",the Sunrise Movement,a youth-led organization that protests against fossil fuels and political inaction on climate change,felons with previous marijuana indictments,"The Entry Track helps individuals with little or no experience, particularly those who wish to re-enter the workforce following incarceration, enter the cannabis industry.",Mohammad and his family have refused to comply with US vaccination requirements based on religious grounds.,Republican Party,Control,,,,,,,
2021-11-17 22:31:30,2021-11-17 22:37:36,0,74.118.138.27,100,366,1,2021-11-17 22:37:37,R_PHZhyttMnA15exj,,,,,40.43389892578125,-79.999603271484375,anonymous,EN,,4,5,4,1,1,,2,1,1,1,1,1,,,,,,,1,1,1,,,,1,1,1,,,,4,3,3,4,4,3,3,4,3,5,1,5,,1,,,,,,1,,,,2,,2,3,2,,,1,,1,good,1,,40,5.994,20.958,32.858,2,"<img src=""https://umassamherst.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8jqMGkx3MLDuSl8"" alt=""White Car Image"">","$20,000",the United Negro College Fund,an organization that raises money to fund minority students and HBCUs,felons with previous marijuana indictments,"The Entry Track helps individuals with little or no experience, particularly those who wish to re-enter the workforce following incarceration, enter the cannabis industry.",Mohammed and his family have complied with all US vaccination requirements.,national,Control,,,,,,,
2021-11-17 22:30:32,2021-11-17 22:37:57,0,154.13.59.65,100,444,1,2021-11-17 22:37:57,R_1F5mMVOZFdVgeKv,,,,,39.046905517578125,-77.49030303955078125,anonymous,EN,,5,5,4,1,2,3,,2,2,2,2,2,,,,,,,2,4,3,,,,,,,2,1,1,4,3,4,5,4,3,4,5,4,5,1,6,,5,,,,,,1,,,,1,,2,2,1,,1,,,1,,1,,,0,0,4.289,0,"<img src=""https://umassamherst.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8jqMGkx3MLDuSl8"" alt=""White Car Image"">","$20,000",Black Lives Matter,an organization that protests incidents of police brutality against African-Americans,felons with previous marijuana indictments,Aggressive enforcement of the War on Drugs resulted in many people arrested for using - not dealing - marijuana. 88% of the 8.2 million marijuana arrests between 2001 and 2010 were made on the grounds of possession. These arrests exhibit a significant racial bias: blacks were 3.73 times more likely than whites to be arrested for marijuana despite roughly equal usage.,Mohammed and his family have complied with all US vaccination requirements.,Democratic Party,Control,,,,,,,
2021-11-17 22:30:58,2021-11-17 22:38:35,0,73.144.104.225,100,457,1,2021-11-17 22:38:36,R_3LXDh16jjPCp8VI,,,,,42.6410980224609375,-83.0449981689453125,anonymous,EN,,4,6,1,2,2,3,,3,1,2,1,3,1,4,2,3,5,1,2,2,2,2,2,2,,,,,,,2,5,5,1,4,4,4,3,3,2,1,4,,1,,,,,,1,,,,2,,4,5,3,,,,3,1,,2,,,,,,,"<img src=""https://umassamherst.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cNl6CwoAVxSEA9o"" alt=""White Car Image"">","$60,000",the Children's Cancer Research Fund,an organization that raises money to fund research for childhood cancer,those with previous marijuana indictments,"Social equity programs may provide support for black entrepreneurs, who are struggling to join the rapidly growing marijuana industry which is currently dominated by a handful of companies.",Mohammad and his family have refused to comply with US vaccination requirements based on religious grounds.,national,Experience,,,,,,,
2021-11-17 22:31:48,2021-11-17 22:38:51,0,73.169.119.154,100,422,1,2021-11-17 22:38:51,R_8J7m5dCdn9qazXH,,,,,39.589202880859375,-105.13590240478515625,anonymous,EN,,1,3,1,2,1,,3,3,1,2,1,1,2,5,1,3,4,1,4,2,4,,,,2,2,2,,,,2,4,3,1,5,5,3,3,3,3,1,5,,3,,,,,,1,,,,2,,5,2,1,,2,,,1,,,2,,,,,,"<img src=""https://umassamherst.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cNl6CwoAVxSEA9o"" alt=""White Car Image"">","$20,000",Black Lives Matter,an organization that protests incidents of police brutality against African-Americans,those from disproportionately affected communities,Aggressive enforcement of the War on Drugs resulted in many people arrested for using - not dealing - marijuana. 88% of the 8.2 million marijuana arrests between 2001 and 2010 were made on the grounds of possession. These arrests exhibit a significant racial bias: blacks were 3.73 times more likely than whites to be arrested for marijuana despite roughly equal usage.,Mohammad and his family have refused to comply with US vaccination requirements based on religious grounds.,Democratic Party,Experience,,,,,,,
2021-11-17 22:34:58,2021-11-17 22:39:14,0,202.182.67.48,100,255,1,2021-11-17 22:39:14,R_20Z5xFbtFhIJFvG,,,,,40.6078033447265625,-73.821502685546875,anonymous,EN,,4,5,4,2,2,2,,2,1,1,2,2,1,5,3,4,2,1,2,3,3,,,,,,,1,1,2,5,5,4,5,4,4,4,3,4,4,1,5,,1,,,1,,,,,,,1,,2,4,2,,,1,,1,good,2,,,,,,,"<img src=""https://umassamherst.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8jqMGkx3MLDuSl8"" alt=""White Car Image"">","$60,000",Black Lives Matter,an organization that protests incidents of police brutality against African-Americans,those from disproportionately affected communities,"Social equity programs may provide support for black entrepreneurs, who are struggling to join the rapidly growing marijuana industry which is currently dominated by a handful of companies.",Mohammad and his family have refused to comply with US vaccination requirements based on religious grounds.,national,Experience,,,,,,,
